Airline,Overall Rating,PredTotal_LR,Error
Singapore Airlines,1,1.6734440364571466,67.34440364571466
Singapore Airlines,1,1.8319722313073554,83.19722313073554
Singapore Airlines,9,9.067186567622187,0.7465174180242999
Singapore Airlines,8,7.601696218463394,4.97879726920758
Singapore Airlines,1,2.066385572884516,106.63855728845162
Singapore Airlines,3,5.834120917936585,94.47069726455283
Singapore Airlines,1,1.5997845585920945,59.97845585920945
Singapore Airlines,1,1.6891927747761146,68.91927747761146
Singapore Airlines,1,1.325136527937936,32.51365279379359
Singapore Airlines,9,6.022001236035337,33.08887515516292
Singapore Airlines,9,7.6944610706387415,14.505988104013985
Singapore Airlines,1,3.2637654591441505,226.37654591441506
Singapore Airlines,1,7.864056531828702,686.4056531828702
Singapore Airlines,1,1.302424079766934,30.242407976693396
Singapore Airlines,9,9.363768109782159,4.041867886468431
Singapore Airlines,9,7.584918674950016,15.72312583388871
Singapore Airlines,10,9.378874799545658,6.211252004543422
Singapore Airlines,5,5.5110321878387385,10.22064375677477
Singapore Airlines,7,7.659642761878291,9.423468026832728
Singapore Airlines,10,9.328409741551967,6.71590258448033
Singapore Airlines,4,4.155797059480275,3.8949264870068667
Singapore Airlines,3,1.4087933834697943,53.040220551006854
Singapore Airlines,9,7.848990580942155,12.78899354508716
Singapore Airlines,1,1.3586648592078734,35.86648592078734
Singapore Airlines,9,7.693779267219338,14.513563697562907
Singapore Airlines,3,2.800453073127503,6.651564229083239
Singapore Airlines,9,9.244895535069416,2.7210615007712886
Singapore Airlines,3,4.216544865001811,40.551495500060376
Singapore Airlines,9,9.378856420949328,4.209515788325863
Singapore Airlines,1,5.1026231021792725,410.2623102179273
Singapore Airlines,7,7.861435613398749,12.306223048553553
Singapore Airlines,6,6.087827105957778,1.463785099296307
Singapore Airlines,1,1.423862410096548,42.3862410096548
Singapore Airlines,5,1.2735247360315132,74.52950527936973
Singapore Airlines,10,9.305379372289748,6.9462062771025215
Singapore Airlines,8,6.096137620060462,23.798279749244223
Singapore Airlines,1,1.4907748212953815,49.077482129538154
Singapore Airlines,10,9.295798024094351,7.0420197590564895
Singapore Airlines,5,6.334567990713819,26.69135981427639
Singapore Airlines,10,9.317016260389869,6.829837396101314
Singapore Airlines,9,9.41592142414321,4.621349157146781
Singapore Airlines,10,7.917262884813018,20.827371151869816
Singapore Airlines,9,9.454101247748666,5.045569419429619
Singapore Airlines,7,5.810496505027891,16.992907071030125
Singapore Airlines,6,4.355444229570265,27.409262840495575
Singapore Airlines,6,5.2384041034883,12.69326494186167
Singapore Airlines,8,8.967740391919696,12.096754898996199
Singapore Airlines,7,4.374366780925367,37.509045986780464
Singapore Airlines,10,9.13828769020757,8.617123097924306
Singapore Airlines,3,2.2146236989687287,26.17921003437571
Singapore Airlines,2,2.6811074572871316,34.055372864356585
Singapore Airlines,9,9.410109305143116,4.556770057145737
Singapore Airlines,8,9.469315910381615,18.366448879770193
Singapore Airlines,1,1.2409177807757277,24.09177807757277
Singapore Airlines,10,9.224547514338054,7.754524856619457
Singapore Airlines,10,9.20960753361381,7.903924663861908
Singapore Airlines,5,5.948855260128641,18.977105202572826
Singapore Airlines,10,7.5535554946486885,24.464445053513113
Singapore Airlines,6,6.055127209685284,0.9187868280880659
Singapore Airlines,6,7.423283293491835,23.721388224863915
Singapore Airlines,1,4.618264173697502,361.8264173697502
Singapore Airlines,5,2.586155254412489,48.27689491175022
Singapore Airlines,6,2.25910824429722,62.34819592837966
Singapore Airlines,9,7.363009150790921,18.18878721343421
Singapore Airlines,10,9.315126209631384,6.848737903686164
Singapore Airlines,6,5.999585893084364,0.006901781927259876
Singapore Airlines,8,7.80106053918454,2.486743260193247
Singapore Airlines,1,3.119509110769993,211.95091107699932
Singapore Airlines,2,5.658991776600944,182.9495888300472
Singapore Airlines,10,9.35647605836111,6.435239416388896
Singapore Airlines,3,0.9205056038822688,69.31647987059104
Singapore Airlines,5,6.227256894294434,24.545137885888675
Singapore Airlines,5,6.114186366081067,22.28372732162134
Singapore Airlines,3,4.206489795995555,40.216326533185175
Singapore Airlines,2,5.78231913509311,189.1159567546555
Singapore Airlines,1,2.12330088277389,112.330088277389
Singapore Airlines,10,9.394545109567364,6.05454890432636
Singapore Airlines,10,7.85011969049253,21.4988030950747
Singapore Airlines,10,9.456382446253194,5.43617553746806
Singapore Airlines,5,3.0624024841130915,38.75195031773817
Singapore Airlines,8,5.81753473871739,27.280815766032628
Singapore Airlines,3,2.73286437578951,8.904520807016336
Singapore Airlines,10,9.210823134673003,7.8917686532699705
Singapore Airlines,1,1.6826978648189446,68.26978648189446
Singapore Airlines,1,0.9836399684402701,1.636003155972987
