Airline,Overall Rating,PredTotal_GBR,Error
Singapore Airlines,9,8.345721875355105,7.269756940498834
Singapore Airlines,10,9.199906317694364,8.000936823056364
Singapore Airlines,10,9.545792002504744,4.542079974952564
Singapore Airlines,5,3.680760064540066,26.38479870919868
Singapore Airlines,10,9.504873951947118,4.951260480528816
Singapore Airlines,8,9.370488358397424,17.131104479967796
Singapore Airlines,10,6.937153801013439,30.62846198986561
Singapore Airlines,10,7.2158290841585835,27.841709158414165
Singapore Airlines,10,9.207952963689719,7.920470363102811
Singapore Airlines,10,9.47258902039746,5.274109796025392
Singapore Airlines,7,5.498422541493915,21.451106550086926
Singapore Airlines,9,8.93762714995419,0.6930316671756623
Singapore Airlines,10,8.167853928703538,18.32146071296462
Singapore Airlines,1,1.6767710660485924,67.67710660485923
Singapore Airlines,6,7.406965491994575,23.449424866576255
Singapore Airlines,2,5.532151760806531,176.60758804032656
Singapore Airlines,10,8.301690416252839,16.98309583747161
Singapore Airlines,2,3.6989725159969864,84.94862579984932
Singapore Airlines,6,3.8657175635928334,35.57137394011944
Singapore Airlines,6,4.007799188394278,33.20334686009536
Singapore Airlines,2,2.8598390290272753,42.99195145136376
Singapore Airlines,6,8.051940216258924,34.1990036043154
Singapore Airlines,9,8.104808869672173,9.946568114753637
Singapore Airlines,5,2.48848806236617,50.230238752676605
Singapore Airlines,1,2.8601383682785895,186.01383682785894
Singapore Airlines,1,1.7285476462420473,72.85476462420473
Singapore Airlines,2,1.5283082986303584,23.584585068482077
Singapore Airlines,8,8.474956912908082,5.936961411351027
Singapore Airlines,5,2.673898874472199,46.52202251055602
Singapore Airlines,4,4.248240088858332,6.206002221458307
Singapore Airlines,4,2.1407221193755572,46.48194701561107
Singapore Airlines,4,3.87060838667105,3.234790333223747
Singapore Airlines,10,9.618646023492941,3.8135397650705904
Singapore Airlines,10,9.57789546085015,4.2210453914984924
Singapore Airlines,2,1.7900676944670855,10.496615276645727
Singapore Airlines,4,1.7049962844206659,57.37509288948335
Singapore Airlines,8,8.083955655778428,1.0494456972303556
Singapore Airlines,9,7.905096682403844,12.165592417735066
Singapore Airlines,8,7.589958102980584,5.125523712742696
Singapore Airlines,4,3.0215891545084137,24.46027113728966
Singapore Airlines,1,1.4711316200843771,47.11316200843771
Singapore Airlines,7,8.661972000048058,23.742457143543685
Singapore Airlines,6,4.267442999962255,28.87595000062908
Singapore Airlines,2,1.773697746285274,11.315112685736295
Singapore Airlines,10,9.535643114783936,4.643568852160644
Singapore Airlines,10,8.008677270897048,19.913227291029525
Singapore Airlines,5,4.112083584363904,17.75832831272192
Singapore Airlines,9,9.11187766728463,1.2430851920514345
Singapore Airlines,7,7.329190180147068,4.702716859243822
